Class Name,Field Name,Type,Required,Default Value,Unique,Min,Max,Regex,Regex Error
Activity,hidden,bool,TRUE,FALSE,,,,,
,targetTable,ActivityTargetTable,TRUE,,,,,,
,targetId,Int,TRUE,,,,,,
,type,ActivityType,TRUE,,,,,,
,,,,,,,,,
App,title,String,TRUE,,,,,,
,pathToConfig,String,TRUE,,,16,4096,,
,pathToIcon,String,TRUE,,,16,4096,,
,learnerLevel,Int,TRUE,,,,,,
,theme,Theme,TRUE,,,,,,
,,,,,,,,,
AppRating,stars,Int,TRUE,,,,,,
,review,TinyText,FALSE,,,,,,
,,,,,,,,,
Award,title,String,TRUE,,,4,256,,
,pathToImage,String,TRUE,,,16,4096,,
,points,Float,TRUE,0,,,,,
,,,,,,,,,
Device,identifier,String,TRUE,,,4,16,,
,os,OS,TRUE,,,,,,
,type,DeviceType,FALSE,,,,,,
,,,,,,,,,
FavouriteApp,app,App,TRUE,,,,,,
,,,,,,,,,
Login,ip,String,TRUE,,,8,128,,
,loggedOut,DateTime,FALSE,,,,,,
,device,Device,FALSE,,,,,,
,,,,,,,,,
Mentor,nickName,String,TRUE,,,4,16,,
,pathToAvatar,String,TRUE,,,16,4096,,
,,,,,,,,,
PasswordHint,hint,String,FALSE,,,4,32,,
,secretQuestion1,String,FALSE,,,4,1024,,
,secretQuestion1Answer,String,FALSE,,,4,128,,
,secretQuestion2,String,FALSE,,,4,1024,,
,secretQuestion2Answer,String,FALSE,,,4,128,,
,expiryDate,DateTime,FALSE,,,,,,
,,,,,,,,,
Payment,amount,Float,TRUE,,,,,,
,currency,Currency,TRUE,,,,,,
,paymentMethod,PaymentMethod,TRUE,,,,,,
,paymentDate,DateTime,TRUE,,,,,,
,paymentReference,String,TRUE,,,8,8,,
,voucher,Voucher,FALSE,,,,,,
,discount,Float,,0,,,,,
,refunded,Bool,TRUE,FALSE,,,,,
,refundedDate,DateTime,FALSE,,,,,,
,,,,,,,,,
ProfileAward,award,Award,TRUE,,,,,,
,,,,,,,,,
Score,value,Float,TRUE,,,,,,
,level,Int,TRUE,,,,,,
,task,Task,TRUE,,,,,,
