Table,Action,Records,Fields
Activity,read,,
,create,,
,update,,
,delete,,
App,read,,
,create,,
,update,,
,delete,,
AppRating,read,,
,create,,
,update,,
,delete,,
Award,read,,
,create,,
,update,,
,delete,,
Device,read,,
,create,,
,update,,
,delete,,
FavouriteApp,read,,
,create,,
,update,,
,delete,,
Login,read,,
,create,,
,update,,
,delete,,
Mentor,read,,
,create,,
,update,,
,delete,,
PasswordHint,read,,
,create,,
,update,,
,delete,,
Payment,read,,
,create,,
,update,,
,delete,,
ProfileAward,read,,
,create,,
,update,,
,delete,,
Score,read,,
,create,,
,update,,
,delete,,
Subscription,read,,
,create,,
,update,,
,delete,,
Assignment,read,,
,create,,
,update,,
,delete,,
PupilTask,read,,
,create,,
,update,,
,delete,,
Theme,read,,
,create,,
,update,,
,delete,,
User,read,,
,create,,
,update,,
,delete,,
Voucher,read,,
,create,,
,update,,
,delete,,
ActivityTargetTable,read,,
,create,,
,update,,
,delete,,
ActivityType,read,,
,create,,
,update,,
,delete,,
AppSetting,read,,
,create,,
,update,,
,delete,,
Country,read,,
,create,,
,update,,
,delete,,
Currency,read,,
,create,,
,update,,
,delete,,
DataType,read,,
,create,,
,update,,
,delete,,
DeviceType,read,,
,create,,
,update,,
,delete,,
Language,read,,
,create,,
,update,,
,delete,,
OS,read,,
,create,,
,update,,
,delete,,
Payment Method,read,,
,create,,
,update,,
,delete,,
Translation,read,,
,create,,
,update,,
,delete,,
UserTitle,read,,
,create,,
,update,,
,delete,,
Group,read,,
,create,,
,update,,
,delete,,
PupilGroup,read,,
,create,,
,update,,
,delete,,
Announcement,read,,
,create,,
,update,,
,delete,,
AppComments,read,,
,create,,
,update,,
,delete,,
ForumCategory,read,,
,create,,
,update,,
,delete,,
ForumThread,read,,
,create,,
,update,,
,delete,,
ForumReply,read,,
,create,,
,update,,
,delete,,
